id,cable_ref,variant,invert,line1,line2,qty,group,class,end_a_device,end_a_port,end_a_loc,conn_a,end_b_device,end_b_port,end_b_loc,conn_b,note
NET-N05,5,TAG,no,CDJ 1,N05 · PRO DJ LINK,2,PRODJLINK,DATA,Pioneer CDJ-3000 #1,LINK,BOOTH,RJ45,DJM-V10 / Pro DJ Link hub,LINK,BOOTH,RJ45,Cat5e · booth-only run
NET-N06,6,TAG,no,CDJ 2,N06 · PRO DJ LINK,2,PRODJLINK,DATA,Pioneer CDJ-3000 #2,LINK,BOOTH,RJ45,DJM-V10 / Pro DJ Link hub,LINK,BOOTH,RJ45,Cat5e · booth-only run
NET-N07,7,TAG,no,CDJ 3,N07 · PRO DJ LINK,2,PRODJLINK,DATA,Pioneer CDJ-3000 #3,LINK,BOOTH,RJ45,DJM-V10 / Pro DJ Link hub,LINK,BOOTH,RJ45,Cat5e · booth-only run
NET-N08,8,TAG,no,CDJ 4,N08 · PRO DJ LINK,2,PRODJLINK,DATA,Pioneer CDJ-3000 #4,LINK,BOOTH,RJ45,DJM-V10 / Pro DJ Link hub,LINK,BOOTH,RJ45,Cat5e · booth-only run
NET-N36,36,TAG,no,V3 #2,N36 · 192.168.10.14,2,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,RJ45,Bias V3 #2,AESOP primary (rear),RACK,RJ45,Armonía control · switch unlocated (D8)
NET-N37,37,TAG,no,Q5,N37 · 192.168.10.10,2,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,RJ45,Bias Q5,etherCON ETH1 primary,RACK,etherCON RJ45,Armonía control · switch unlocated (D8)
NET-N38,38,TAG,no,Q2 #2,N38 · 192.168.10.11,2,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,RJ45,Bias Q2 #2,ETHERNET,RACK,RJ45,Armonía control · switch unlocated (D8)
NET-N39,39,TAG,no,V3 #1,N39 · 192.168.10.13,2,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,RJ45,Bias V3 #1,AESOP primary (rear),RACK,RJ45,Armonía control · switch unlocated (D8)
NET-N40,40,TAG,no,Q2 #1,N40 · 192.168.10.12,2,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,RJ45,Bias Q2 #1,ETHERNET,RACK,RJ45,Armonía control · switch unlocated (D8)
NET-N41,41,TAG,no,CQ-12T,N41 · 169.254.182.156,2,,DATA,Separate network / link-local,Port TBC,UNKNOWN,RJ45,Allen & Heath CQ-12T,NETWORK,BOOTH,RJ45,NOT on the Armonía subnet · does not enter the rack
